"plantNum","surv","date.in","date.out","daysout","c8.4","c10.2","c10.7","c18.1","tough","trich","lat","c.pca"
29,1,2016-09-05,2016-08-29,7,0.0396207925742935,0.0238839490487259,0.054373938194194,0.0389874742779866,100,77.5,NA,3.60671734170449
29,0,2016-09-05,2016-08-29,7,0.0396207925742935,0.0238839490487259,0.054373938194194,0.0389874742779866,100,77.5,NA,3.60671734170449
29,0,2016-09-05,2016-08-29,7,0.0396207925742935,0.0238839490487259,0.054373938194194,0.0389874742779866,100,77.5,NA,3.60671734170449
29,0,2016-09-05,2016-08-29,7,0.0396207925742935,0.0238839490487259,0.054373938194194,0.0389874742779866,100,77.5,NA,3.60671734170449
30,0,2016-09-05,2016-08-29,7,0.0194576947426477,0.0193056058029741,0.0314782277956079,0.012382960790042,52.5,66,0.00289099999999998,1.80693090207218
30,0,2016-09-05,2016-08-29,7,0.0194576947426477,0.0193056058029741,0.0314782277956079,0.012382960790042,52.5,66,0.00289099999999998,1.80693090207218
30,0,2016-09-05,2016-08-29,7,0.0194576947426477,0.0193056058029741,0.0314782277956079,0.012382960790042,52.5,66,0.00289099999999998,1.80693090207218
30,0,2016-09-05,2016-08-29,7,0.0194576947426477,0.0193056058029741,0.0314782277956079,0.012382960790042,52.5,66,0.00289099999999998,1.80693090207218
30,0,2016-09-05,2016-08-29,7,0.0194576947426477,0.0193056058029741,0.0314782277956079,0.012382960790042,52.5,66,0.00289099999999998,1.80693090207218
31,0,2016-09-05,2016-08-29,7,0.156180822880808,0.0255957712461327,0.0413606690866906,0.0358100070336778,32.5,96,NA,2.91329339654251
31,0,2016-09-05,2016-08-29,7,0.156180822880808,0.0255957712461327,0.0413606690866906,0.0358100070336778,32.5,96,NA,2.91329339654251
31,0,2016-09-05,2016-08-29,7,0.156180822880808,0.0255957712461327,0.0413606690866906,0.0358100070336778,32.5,96,NA,2.91329339654251
31,0,2016-09-05,2016-08-29,7,0.156180822880808,0.0255957712461327,0.0413606690866906,0.0358100070336778,32.5,96,NA,2.91329339654251
31,0,2016-09-05,2016-08-29,7,0.156180822880808,0.0255957712461327,0.0413606690866906,0.0358100070336778,32.5,96,NA,2.91329339654251
