"plantNum","weight","lgw","trich","tough","lat","c8.4","c10.2","c10.7","c18.1","c.pca","date.in","date.out","daysout"
51,0.00197,-6.22972173623224,71.5,87.5,0.00330699999999995,0.107350494724091,0.018573344787997,0.0312446116901698,0.014548846093225,2.07608058474954,2016-09-05,2016-08-29,7
53,0.00113,-6.78553764625789,92.5,102.5,NA,0.116052603656586,0.0251712136917189,0.0221580530416997,0.00934967073353006,1.44265926497206,2016-09-06,2016-08-30,7
60,0.00254,-5.97559119795169,78,92.5,0.00063000000000013,0.0307363527029158,0.0143077675295724,0.0397030223876285,0.0250752708747167,2.83991548136531,2016-09-06,2016-08-30,7
60,0.00157,-6.45667965962192,78,92.5,0.00063000000000013,0.0307363527029158,0.0143077675295724,0.0397030223876285,0.0250752708747167,2.83991548136531,2016-09-06,2016-08-30,7
60,0.00474,-5.35171814327515,78,92.5,0.00063000000000013,0.0307363527029158,0.0143077675295724,0.0397030223876285,0.0250752708747167,2.83991548136531,2016-09-06,2016-08-30,7
60,0.00336,-5.69581430500702,78,92.5,0.00063000000000013,0.0307363527029158,0.0143077675295724,0.0397030223876285,0.0250752708747167,2.83991548136531,2016-09-06,2016-08-30,7
64,0.004968,-5.30473793435096,64.5,77.5,0.00715899999999992,0.0132765212338878,0.0214254854049404,0.0346056877635918,0.0193102351867899,2.39732493941554,2016-09-10,2016-09-03,7
64,0.003203,-5.74366740835512,64.5,77.5,0.00715899999999992,0.0132765212338878,0.0214254854049404,0.0346056877635918,0.0193102351867899,2.39732493941554,2016-09-10,2016-09-03,7
64,0.001818,-6.31001828322685,64.5,77.5,0.00715899999999992,0.0132765212338878,0.0214254854049404,0.0346056877635918,0.0193102351867899,2.39732493941554,2016-09-10,2016-09-03,7
64,0.0021,-6.16581793425276,64.5,77.5,0.00715899999999992,0.0132765212338878,0.0214254854049404,0.0346056877635918,0.0193102351867899,2.39732493941554,2016-09-10,2016-09-03,7
64,0.004274,-5.45520512208518,64.5,77.5,0.00715899999999992,0.0132765212338878,0.0214254854049404,0.0346056877635918,0.0193102351867899,2.39732493941554,2016-09-10,2016-09-03,7
65,0.001734,-6.35732440062379,80,162.5,0.00476799999999988,0.00085864390146994,0.0335124244173835,0.0251755597958672,0.0126108055354585,1.70001773646004,2016-09-10,2016-09-03,7
65,0.001755,-6.34528642206431,80,162.5,0.00476799999999988,0.00085864390146994,0.0335124244173835,0.0251755597958672,0.0126108055354585,1.70001773646004,2016-09-10,2016-09-03,7
65,0.001983,-6.22314442944448,80,162.5,0.00476799999999988,0.00085864390146994,0.0335124244173835,0.0251755597958672,0.0126108055354585,1.70001773646004,2016-09-10,2016-09-03,7
65,0.00141,-6.56416557459206,80,162.5,0.00476799999999988,0.00085864390146994,0.0335124244173835,0.0251755597958672,0.0126108055354585,1.70001773646004,2016-09-10,2016-09-03,7
66,0.001209,-6.71796170734948,61.5,112.5,NA,0.464065633186023,0.0302450009232208,0.031864448005362,0.0177635515226468,2.20690195966236,2016-09-10,2016-09-03,7
69,0.001068,-6.84196753844413,NA,97.5,NA,0.0214242072642598,0.0683838911609427,0.0384446715154009,0.0170734400566195,2.52912958043791,2016-09-10,2016-09-03,7
73,0.001127,-6.7881960439245,29.5,95,0.00368999999999997,0.116618874034134,0.0445387334391162,0.0965601510463661,0.0451273410348626,6.4210860132026,2016-09-10,2016-09-03,7
74,0.00354,-5.64362855183645,73.5,122.5,0.00754900000000003,0.13782099721321,0.0236456581911028,0.0206340501689355,0.0105376617342833,1.39952616067378,2016-09-10,2016-09-03,7
74,0.002216,-6.1120515100971,73.5,122.5,0.00754900000000003,0.13782099721321,0.0236456581911028,0.0206340501689355,0.0105376617342833,1.39952616067378,2016-09-10,2016-09-03,7
74,0.002103,-6.16439038226157,73.5,122.5,0.00754900000000003,0.13782099721321,0.0236456581911028,0.0206340501689355,0.0105376617342833,1.39952616067378,2016-09-10,2016-09-03,7
74,0.003292,-5.71625999616731,73.5,122.5,0.00754900000000003,0.13782099721321,0.0236456581911028,0.0206340501689355,0.0105376617342833,1.39952616067378,2016-09-10,2016-09-03,7
74,0.001278,-6.66245892302679,73.5,122.5,0.00754900000000003,0.13782099721321,0.0236456581911028,0.0206340501689355,0.0105376617342833,1.39952616067378,2016-09-10,2016-09-03,7
75,0.001358,-6.60174224984563,101,82.5,NA,0.145407846355479,0.0172711415020212,0.0245972789806986,0.0123870096446248,1.66298637330891,2016-09-10,2016-09-03,7
75,0.001175,-6.74648713138602,101,82.5,NA,0.145407846355479,0.0172711415020212,0.0245972789806986,0.0123870096446248,1.66298637330891,2016-09-10,2016-09-03,7
78,0.002136,-6.14882035788419,43.5,120,0.00480799999999992,0.0419011742822667,0.0472952672798785,0.0294239866706039,0.014440560143569,1.97775989491775,2016-09-10,2016-09-03,7
78,0.0010403,-6.86824614588742,43.5,120,0.00480799999999992,0.0419011742822667,0.0472952672798785,0.0294239866706039,0.014440560143569,1.97775989491775,2016-09-10,2016-09-03,7
78,0.001646,-6.40940717672726,43.5,120,0.00480799999999992,0.0419011742822667,0.0472952672798785,0.0294239866706039,0.014440560143569,1.97775989491775,2016-09-10,2016-09-03,7
79,0.002396,-6.03395459872893,65,72.5,NA,0.00102951707512164,0.0332773073808206,0.0333585165283091,0.0161757507555868,2.23622552372554,2016-09-10,2016-09-03,7
89,0.0018,-6.31996861408002,82,77.5,0.00192099999999984,0.159182246671126,0.0559686524359303,0.0176508767217415,0.00904708309799531,1.19819732528014,2016-09-11,2016-09-04,7
96,0.00208,-6.17538738526891,NA,145,NA,0.00168121521056808,0.035010281339316,0.0318570214586704,0.0120672373907179,2.03201726082333,2016-09-12,2016-09-05,7
96,0.00167,-6.39493165255347,NA,145,NA,0.00168121521056808,0.035010281339316,0.0318570214586704,0.0120672373907179,2.03201726082333,2016-09-12,2016-09-05,7
97,0.00337,-5.69284253461787,97.5,152.5,NA,0.0368878983280667,0.0530652699674355,0.0402617726468873,0.0247106491009612,2.85790250197427,2016-09-12,2016-09-05,7
98,0.00202,-6.20465776756902,90,132.5,0.00383400000000012,0,0.0500907635150763,0.0374218872545038,0.0306217852757135,2.89078999728967,2016-09-12,2016-09-05,7
99,0.0019,-6.26590139280974,112,170,NA,0,0.0582015021682762,0.0301789108927919,0.0144259372672192,2.01670526784693,2016-09-12,2016-09-05,7
99,0.00106,-6.84948637085816,112,170,NA,0,0.0582015021682762,0.0301789108927919,0.0144259372672192,2.01670526784693,2016-09-12,2016-09-05,7
102,0.00416,-5.48224020470897,38.5,85,NA,0.462440355053035,0.0644897207615571,0.0930260035426297,0.0538145795141923,6.50278695288389,2016-09-12,2016-09-05,7
106,0.00124,-6.69264389936519,NA,117.5,NA,0.0154876571987143,0.0657940273731155,0.0577847079222741,0.0307063685625707,3.95595012814792,2016-09-13,2016-09-06,7
106,0.00198,-6.22465843427569,NA,117.5,NA,0.0154876571987143,0.0657940273731155,0.0577847079222741,0.0307063685625707,3.95595012814792,2016-09-13,2016-09-06,7
106,0.00167,-6.39493165255347,NA,117.5,NA,0.0154876571987143,0.0657940273731155,0.0577847079222741,0.0307063685625707,3.95595012814792,2016-09-13,2016-09-06,7
