"lgw","plantNum","lat1","lat2","date.out","weight","date.in","tough","init.weight","daysout","c.10.5","c.17.4","c.17.7","c.18.4","c.18.6","card.tot","c.10.5.fin","c.17.4.fin","c.17.7.fin","c.18.4.fin","c.18.6.fin","card.tot.fin","leaf.sample.weight","N2.Amp","perc.N","CO2.Amp","perc.C","trich","c2n","sla","c.pca"
-5.72235386024164,17,0.00350899999999998,0.00219499999999995,"2015/09/19",0.003272,"2015/09/25",70,0.0013561,6,0.221766621177689,0.00246414216547352,0.001730664348656,0.00737282242131328,0.0314407059592416,0.264774956072374,0.533258084377373,0.0229453798898685,0.00934014666955244,0.0259862423982074,0.0367421554854735,0.628272008820475,3.119,3094,2.22,12266,43.92,74.5,19.7837837837838,18.2220943613349,0.237920952164607
-5.98667603037619,17,0.00350899999999998,0.00219499999999995,"2015/09/19",0.002512,"2015/09/25",70,0.0013561,6,0.221766621177689,0.00246414216547352,0.001730664348656,0.00737282242131328,0.0314407059592416,0.264774956072374,0.533258084377373,0.0229453798898685,0.00934014666955244,0.0259862423982074,0.0367421554854735,0.628272008820475,3.119,3094,2.22,12266,43.92,74.5,19.7837837837838,18.2220943613349,0.237920952164607
-5.74210758897787,18,0.000837999999999894,0.00113999999999992,"2015/09/19",0.003208,"2015/09/25",47.5,0.0013561,6,0.260724085855324,0.0142938984743802,0,0.0218548075961434,0.0342570467547832,0.33112983868063,0.490851780661867,0.00571736252663037,0.00304794670935131,0.0177345197713968,0.0424314282640552,0.559783037933301,2.983,3102,2.33,11608,42.99,77,18.450643776824,20.6723237597911,0.813451035526756
-4.99525419205795,18,0.000837999999999894,0.00113999999999992,"2015/09/19",0.00677,"2015/09/25",47.5,0.0013561,6,0.260724085855324,0.0142938984743802,0,0.0218548075961434,0.0342570467547832,0.33112983868063,0.490851780661867,0.00571736252663037,0.00304794670935131,0.0177345197713968,0.0424314282640552,0.559783037933301,2.983,3102,2.33,11608,42.99,77,18.450643776824,20.6723237597911,0.813451035526756
-4.78083395511798,19,0.00147699999999995,0.00160799999999983,"2015/09/20",0.008389,"2015/09/26",60,0.0020155,6,0.362364685097799,0.00575133110696673,0.006341075950758,0.0202990992501358,0.054381779881172,0.449137971286831,0.270464503742508,0.0101956463366505,0.00794049412992856,0.019964052431798,0.0343995320580161,0.342964228698901,3.068,2569,1.89,11876,42.97,23.5,22.7354497354497,18.8849135360763,0.646941217343484
-4.46732311929597,19,0.00147699999999995,0.00160799999999983,"2015/09/20",0.011478,"2015/09/26",60,0.0020155,6,0.362364685097799,0.00575133110696673,0.006341075950758,0.0202990992501358,0.054381779881172,0.449137971286831,0.270464503742508,0.0101956463366505,0.00794049412992856,0.019964052431798,0.0343995320580161,0.342964228698901,3.068,2569,1.89,11876,42.97,23.5,22.7354497354497,18.8849135360763,0.646941217343484
-4.69706620069263,20,0.00237799999999999,0.00328799999999996,"2015/09/20",0.009122,"2015/09/26",80,0.0020155,6,0.420772532935767,0.0285362404882642,0.0130612063608188,0.0275471144524893,0.0324911911392654,0.522408285376605,0.229234432408394,0.0124898010818345,0.00228091620269864,0.0266637595249895,0.0328706204916431,0.303539529709559,3.039,2389,1.77,11778,42.83,67,24.1977401129943,22.5891583452211,1.38837584072595
-5.55450077194045,20,0.00237799999999999,0.00328799999999996,"2015/09/20",0.00387,"2015/09/26",80,0.0020155,6,0.420772532935767,0.0285362404882642,0.0130612063608188,0.0275471144524893,0.0324911911392654,0.522408285376605,0.229234432408394,0.0124898010818345,0.00228091620269864,0.0266637595249895,0.0328706204916431,0.303539529709559,3.039,2389,1.77,11778,42.83,67,24.1977401129943,22.5891583452211,1.38837584072595
-4.49927981073066,21,0.000712000000000046,0.000477000000000061,"2015/09/20",0.011117,"2015/09/26",62.5,0.0020155,6,0.394396877127595,0.00261291380820455,0.00221737213044041,0.00774040256383969,0.0389598693692022,0.445927434999282,0.507394376653612,0.00278956050702474,0.00330505626056643,0.00515952113959128,0.0398534408916105,0.558501955452405,2.995,3318,2.48,12189,45.54,62.5,18.3629032258065,20.9735099337748,0.254225003067024
NA,21,0.000712000000000046,0.000477000000000061,"2015/09/20",NA,"2015/09/26",62.5,0.0020155,6,0.394396877127595,0.00261291380820455,0.00221737213044041,0.00774040256383969,0.0389598693692022,0.445927434999282,0.507394376653612,0.00278956050702474,0.00330505626056643,0.00515952113959128,0.0398534408916105,0.558501955452405,2.995,3318,2.48,12189,45.54,62.5,18.3629032258065,20.9735099337748,0.254225003067024
-4.43703207371061,22,0.00157600000000002,0.000777000000000028,"2015/09/20",0.011831,"2015/09/26",75,0.0020155,6,0.243539328811543,0.0285309043159178,0.0130232063582729,0.0359019111589985,0.0241722629622657,0.345167613606998,0.21565402082635,0.0227498510725976,0.0232244437374693,0.0696885549024339,0,0.33131687053885,2.913,3156,2.43,11624,44.15,69.5,18.1687242798354,17.3629385964912,1.57563509567604
-4.66015449432085,23,0.00219799999999992,0.00228399999999995,"2015/09/20",0.009465,"2015/09/26",92.5,0.0020155,6,0.363853412316237,0.0353939722029994,0.014852026500009,0.029812530408521,0.0400631571030534,0.48397509853082,0.330562143152941,0.0333471462020575,0.0179461185264158,0.073911712615541,0.0527583274782026,0.508525447975158,3.109,2622,1.89,11531,40.92,28,21.6507936507937,21.3697705802969,1.61118355980712
NA,23,0.00219799999999992,0.00228399999999995,"2015/09/20",NA,"2015/09/26",92.5,0.0020155,6,0.363853412316237,0.0353939722029994,0.014852026500009,0.029812530408521,0.0400631571030534,0.48397509853082,0.330562143152941,0.0333471462020575,0.0179461185264158,0.073911712615541,0.0527583274782026,0.508525447975158,3.109,2622,1.89,11531,40.92,28,21.6507936507937,21.3697705802969,1.61118355980712
-4.42853141232963,24,0.00183500000000003,0.00218499999999988,"2015/09/20",0.011932,"2015/09/26",85,0.0020155,6,0.369052347830676,0.0189196040385582,0.00212655075542235,0.0243828112993588,0.038754188365153,0.453235502289168,0.249365096471487,0.0421246801391353,0.0211774505329254,0.0447852235762054,0.0317581155797665,0.38921056629952,3.086,3488,2.54,12079,43.67,50.5,17.1929133858268,18.1386025200458,0.995060092435169
-4.6607886097511,24,0.00183500000000003,0.00218499999999988,"2015/09/20",0.009459,"2015/09/26",85,0.0020155,6,0.369052347830676,0.0189196040385582,0.00212655075542235,0.0243828112993588,0.038754188365153,0.453235502289168,0.249365096471487,0.0421246801391353,0.0211774505329254,0.0447852235762054,0.0317581155797665,0.38921056629952,3.086,3488,2.54,12079,43.67,50.5,17.1929133858268,18.1386025200458,0.995060092435169
-5.54960322380853,25,0.000785000000000036,0.000950000000000006,"2015/09/20",0.003889,"2015/09/26",102.5,0.0020155,6,0.218157318796838,0.0155793963515893,0.0141473998289271,0.0281645260862411,0.0257930877850337,0.301841728848629,0.443919579141204,0.00398308215134226,0.00399239412624458,0.0166766311298628,0.0482847837893501,0.516856470338004,3.057,2734,2.01,10996,39.23,58.5,19.5174129353234,17.3249452954048,1.12052779665186
-5.29871744656938,25,0.000785000000000036,0.000950000000000006,"2015/09/20",0.004998,"2015/09/26",102.5,0.0020155,6,0.218157318796838,0.0155793963515893,0.0141473998289271,0.0281645260862411,0.0257930877850337,0.301841728848629,0.443919579141204,0.00398308215134226,0.00399239412624458,0.0166766311298628,0.0482847837893501,0.516856470338004,3.057,2734,2.01,10996,39.23,58.5,19.5174129353234,17.3249452954048,1.12052779665186
-4.84622315784587,28,0.00167300000000004,0.00170500000000007,"2015/09/20",0.007858,"2015/09/26",82.5,0.0020155,6,0.194727672351433,0.00699363269386534,0.0118083849436211,0.0596200860081543,0.0174232089065067,0.29057298490358,0.209008967754028,0.0385311408124692,0.0176218311475408,0.0368306363514443,0.0296020118605725,0.331594587926055,2.999,2273,1.71,11452,42.04,82,24.5847953216374,23.794139744553,1.61123466405868
-4.75948754637245,28,0.00167300000000004,0.00170500000000007,"2015/09/20",0.00857,"2015/09/26",82.5,0.0020155,6,0.194727672351433,0.00699363269386534,0.0118083849436211,0.0596200860081543,0.0174232089065067,0.29057298490358,0.209008967754028,0.0385311408124692,0.0176218311475408,0.0368306363514443,0.0296020118605725,0.331594587926055,2.999,2273,1.71,11452,42.04,82,24.5847953216374,23.794139744553,1.61123466405868
-4.52073713001326,29,NA,0.00285099999999994,"2015/09/20",0.010881,"2015/09/26",80,0.0020155,6,0.193042308653807,0.0326505788740191,0.00743333805282082,0.0443770235267439,0.0334402708067717,0.310943519914163,0.211543150046995,0.0426037724575618,0.0115992172526643,0.0430588229022354,0.0333794722698867,0.342184434929344,2.961,2132,1.63,11152,41.48,49,25.4478527607362,23.3726937269373,1.80513263236421
-4.86342291441587,29,NA,0.00285099999999994,"2015/09/20",0.007724,"2015/09/26",80,0.0020155,6,0.193042308653807,0.0326505788740191,0.00743333805282082,0.0443770235267439,0.0334402708067717,0.310943519914163,0.211543150046995,0.0426037724575618,0.0115992172526643,0.0430588229022354,0.0333794722698867,0.342184434929344,2.961,2132,1.63,11152,41.48,49,25.4478527607362,23.3726937269373,1.80513263236421
-5.21987594024147,30,NA,0.00246500000000016,"2015/09/20",0.005408,"2015/09/26",75,0.0020155,6,0.335680370138212,0.00535710275531738,0.00591881346348306,0.00862374404099363,0.0319417354009906,0.387521765798997,0.252601031216327,0.0199819898016933,0.00553731747811834,0.0428534242682753,0.0356671160371452,0.356640878801559,3.017,2296,1.71,11174,40.47,47.5,23.6666666666667,19.84335839599,0.371618954618607
-5.30272707503674,30,NA,0.00246500000000016,"2015/09/20",0.004978,"2015/09/26",75,0.0020155,6,0.335680370138212,0.00535710275531738,0.00591881346348306,0.00862374404099363,0.0319417354009906,0.387521765798997,0.252601031216327,0.0199819898016933,0.00553731747811834,0.0428534242682753,0.0356671160371452,0.356640878801559,3.017,2296,1.71,11174,40.47,47.5,23.6666666666667,19.84335839599,0.371618954618607
-4.5973012276094,31,0.00360200000000011,0.00288500000000003,"2015/09/20",0.010079,"2015/09/26",92.5,0.0020155,6,0.208458395218309,0.0108869730049215,0.0048022271865362,0.0168481022797073,0.0331351052899759,0.27413080297945,0.249694986367952,0.00530266217867078,0,0.0101785452166971,0.0336870865631186,0.298863280326439,2.964,2706,2.06,11724,43.94,86.5,21.3300970873786,19.9057196731615,0.670378953124577
-4.44160680212273,31,0.00360200000000011,0.00288500000000003,"2015/09/20",0.011777,"2015/09/26",92.5,0.0020155,6,0.208458395218309,0.0108869730049215,0.0048022271865362,0.0168481022797073,0.0331351052899759,0.27413080297945,0.249694986367952,0.00530266217867078,0,0.0101785452166971,0.0336870865631186,0.298863280326439,2.964,2706,2.06,11724,43.94,86.5,21.3300970873786,19.9057196731615,0.670378953124577
-4.71219875874661,32,0.00244100000000014,0.00116200000000011,"2015/09/20",0.008985,"2015/09/27",82.5,0.0020155,7,0.421798102574621,0.00392234585191188,0.00209869729583422,0.00854399217418375,0.03319984144621,0.46956297934276,0.228111012668444,0.0411440770790084,0.00902733657792674,0.054772977639443,0.0559745880476841,0.389029992012506,3.039,2088,1.56,11816,43.39,52.5,27.8141025641026,28.5058505850585,0.300668321941652
-4.85607041434734,32,0.00244100000000014,0.00116200000000011,"2015/09/20",0.007781,"2015/09/27",82.5,0.0020155,7,0.421798102574621,0.00392234585191188,0.00209869729583422,0.00854399217418375,0.03319984144621,0.46956297934276,0.228111012668444,0.0411440770790084,0.00902733657792674,0.054772977639443,0.0559745880476841,0.389029992012506,3.039,2088,1.56,11816,43.39,52.5,27.8141025641026,28.5058505850585,0.300668321941652
-4.51926775698739,34,0.00369000000000019,0.00270700000000001,"2015/09/20",0.010897,"2015/09/27",80,0.0020155,7,0.281998446618803,0.0599566679729155,0.0150496292441324,0.0577954409063475,0.0349155654269567,0.449715750169155,0.142261225663628,0.0222845318280027,0.0188037723815539,0.0313647855490879,0.0169046767987813,0.231618992221054,2.946,2190,1.68,11688,43.97,114,26.172619047619,24.4555984555985,2.79581594022563
-5.00744040319974,34,0.00369000000000019,0.00270700000000001,"2015/09/20",0.006688,"2015/09/27",80,0.0020155,7,0.281998446618803,0.0599566679729155,0.0150496292441324,0.0577954409063475,0.0349155654269567,0.449715750169155,0.142261225663628,0.0222845318280027,0.0188037723815539,0.0313647855490879,0.0169046767987813,0.231618992221054,2.946,2190,1.68,11688,43.97,114,26.172619047619,24.4555984555985,2.79581594022563
NA,35,0.00399299999999991,0.00217099999999992,"2015/09/20",NA,"2015/09/27",75,0.0020155,7,0.329375804774403,0.0212013686801551,0.00954483402188865,0.0336355392281293,0.0378146775210546,0.431572224225631,0.195059829654659,0.0190384490359506,0.00839766728659166,0.023468267381359,0.0302273094417456,0.276191522800306,3.076,2422,1.78,12027,43.8,80,24.6067415730337,19.6708074534161,1.32590820634686
NA,35,0.00399299999999991,0.00217099999999992,"2015/09/20",NA,"2015/09/27",75,0.0020155,7,0.329375804774403,0.0212013686801551,0.00954483402188865,0.0336355392281293,0.0378146775210546,0.431572224225631,0.195059829654659,0.0190384490359506,0.00839766728659166,0.023468267381359,0.0302273094417456,0.276191522800306,3.076,2422,1.78,12027,43.8,80,24.6067415730337,19.6708074534161,1.32590820634686
-4.62813179762544,37,0.00364000000000009,0.00264799999999998,"2015/09/20",0.009773,"2015/09/27",87.5,0.0020155,7,0.232677902250954,0.0405388447918278,0.0111381501266275,0,0.0580332363151082,0.342388133484518,0.155972685949289,0.0138816914387227,0.00951706528181849,0.024296556742127,0.0341156233973226,0.23778362280928,3.115,2211,1.6,12292,44.29,59.5,27.68125,19.2289010321797,1.02148893880534
-4.53108364263539,37,0.00364000000000009,0.00264799999999998,"2015/09/20",0.010769,"2015/09/27",87.5,0.0020155,7,0.232677902250954,0.0405388447918278,0.0111381501266275,0,0.0580332363151082,0.342388133484518,0.155972685949289,0.0138816914387227,0.00951706528181849,0.024296556742127,0.0341156233973226,0.23778362280928,3.115,2211,1.6,12292,44.29,59.5,27.68125,19.2289010321797,1.02148893880534
-4.31623889413588,38,0.00304700000000002,0.00236500000000017,"2015/09/20",0.01335,"2015/09/27",110,0.0020155,7,0.374543955760299,0.0165724917139229,0.00857915433246416,0.0191262618154155,0.0339890405353104,0.452810904157412,0.198013935336124,0.0171605283135296,0.0107226764200209,0,0.0446909716677766,0.270588111737451,3.021,2588,1.93,12020,44.63,76.5,23.1243523316062,21.2836021505376,0.886173202812829
-4.4434765969901,38,0.00304700000000002,0.00236500000000017,"2015/09/20",0.011755,"2015/09/27",110,0.0020155,7,0.374543955760299,0.0165724917139229,0.00857915433246416,0.0191262618154155,0.0339890405353104,0.452810904157412,0.198013935336124,0.0171605283135296,0.0107226764200209,0,0.0446909716677766,0.270588111737451,3.021,2588,1.93,12020,44.63,76.5,23.1243523316062,21.2836021505376,0.886173202812829
-5.39284785039427,39,0.00160899999999997,0.00220300000000018,"2015/09/20",0.004549,"2015/09/27",105,0.0020155,7,0.194048781046586,0.0158115204283531,0.00959195167839999,0.0163387711267299,0.0280719064447842,0.263862930724853,0.238443625189986,0.0158731976410055,0.0229043350417843,0.0227521567525213,0.0222610941381949,0.322234408763492,3.004,2942,2.2,11661,43.02,66.5,19.5545454545455,18.5856807511737,0.816130774806113
-4.83735448195445,39,0.00160899999999997,0.00220300000000018,"2015/09/20",0.007928,"2015/09/27",105,0.0020155,7,0.194048781046586,0.0158115204283531,0.00959195167839999,0.0163387711267299,0.0280719064447842,0.263862930724853,0.238443625189986,0.0158731976410055,0.0229043350417843,0.0227521567525213,0.0222610941381949,0.322234408763492,3.004,2942,2.2,11661,43.02,66.5,19.5545454545455,18.5856807511737,0.816130774806113
-5.03872617426278,40,0.00113699999999994,NA,"2015/09/20",0.006482,"2015/09/27",100,0.0020155,7,0.156374352707565,0.0154597447842578,0.00197002805687955,0.0217506200725181,0.044770054946208,0.240324800567429,0.25456554831122,0.0152716401194722,0.00748315179510156,0.0309964322703205,0.0427819188926549,0.35109869138877,2.979,2475,1.87,11623,43.21,76.5,23.1069518716578,21.4276048714479,0.856380071346495
-5.19756746344789,40,0.00113699999999994,NA,"2015/09/20",0.00553,"2015/09/27",100,0.0020155,7,0.156374352707565,0.0154597447842578,0.00197002805687955,0.0217506200725181,0.044770054946208,0.240324800567429,0.25456554831122,0.0152716401194722,0.00748315179510156,0.0309964322703205,0.0427819188926549,0.35109869138877,2.979,2475,1.87,11623,43.21,76.5,23.1069518716578,21.4276048714479,0.856380071346495
-4.54642969096549,41,0.000576000000000132,0.000556000000000001,"2015/09/20",0.010605,"2015/09/27",147.5,0.0020155,7,0.201514082447183,0.0244868426762598,0.019295766067487,0.0272381956341121,0.0309091006072295,0.303443987432272,0.390088800000984,0.0030522376988875,0,0.0103200651430085,0.0514472228133149,0.454908325656194,2.965,3086,2.34,11811,44.22,96,18.8974358974359,23.0999270605398,1.35018163031349
-4.69498549031046,41,0.000576000000000132,0.000556000000000001,"2015/09/20",0.009141,"2015/09/27",147.5,0.0020155,7,0.201514082447183,0.0244868426762598,0.019295766067487,0.0272381956341121,0.0309091006072295,0.303443987432272,0.390088800000984,0.0030522376988875,0,0.0103200651430085,0.0514472228133149,0.454908325656194,2.965,3086,2.34,11811,44.22,96,18.8974358974359,23.0999270605398,1.35018163031349
-4.82444622577581,42,NA,0.000879999999999992,"2015/09/20",0.008031,"2015/09/27",80,0.0020155,7,0.342755463395763,0.00381240871604691,0.00420832604726859,0.00351228503340636,0.0381925049973407,0.392480988189826,0.414343129130504,0.037114174687299,0.0326918255440039,0,0.0982687572262183,0.582417886588025,3.102,2940,2.14,12490,45.4,54,21.214953271028,23.2184750733138,0.205443119426603
NA,42,NA,0.000879999999999992,"2015/09/20",NA,"2015/09/27",80,0.0020155,7,0.342755463395763,0.00381240871604691,0.00420832604726859,0.00351228503340636,0.0381925049973407,0.392480988189826,0.414343129130504,0.037114174687299,0.0326918255440039,0,0.0982687572262183,0.582417886588025,3.102,2940,2.14,12490,45.4,54,21.214953271028,23.2184750733138,0.205443119426603
